,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Mã BĐS,Địa chỉ,Giá nhà
117,79.0,2,2,0,11/03/2023,22018447," Nguyên Hồng, Phường 1, Quận Gò Vấp, TPHCM",4099000000
118,39.0,1,1,4,11/03/2023,21625382," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",1850000000
119,69.0,2,2,2,11/03/2023,21566841," Nguyễn Văn Công, Phường 3, Quận Gò Vấp, TPHCM",3100000000
120,69.0,2,2,4,11/03/2023,21629963," Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, TPHCM",3100000000
121,76.0,2,2,4,11/03/2023,21629979," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",3900000000
122,80.0,2,2,4,11/03/2023,21566859," Trương Đăng Quế, Phường 3, Quận Gò Vấp, TPHCM",3400000000
123,68.0,2,2,2,11/03/2023,21887165," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",2350000000
124,54.0,1,1,2,11/03/2023,21913272," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",1995000000
125,60.0,2,2,2,11/03/2023,22051459," Trường Chinh, Phường Tân Thới Nhất, Quận 12, TPHCM",2150000000
126,67.0,1,1,2,11/03/2023,21889064," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",2010000000
127,52.0,1,1,2,11/03/2023,22007461," Hoàng Sa, Phường 12, Quận 3, TPHCM",2900000000
128,74.0,2,2,2,11/03/2023,22053974," Phú Thuận, Phường Phú Thuận, Quận 7, TPHCM",2135000000
129,94.0,3,2,2,11/03/2023,22053968," Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",1370000000
130,39.0,1,1,4,11/03/2023,21589914," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",1750000000
131,65.0,2,2,2,11/03/2023,21859102," Đường số 35, Phường Cát Lái, Quận 2 (TP. Thủ Đức), TPHCM",1550000000
132,112.0,3,2,2,11/03/2023,21859162," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",3350000000
133,69.0,2,2,2,11/03/2023,21859178," Thủy Lợi, Phường Phước Long A, Quận 9 (TP. Thủ Đức), TPHCM",1720000000
134,65.0,2,2,2,11/03/2023,21859195," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1670000000
135,71.0,2,2,2,11/03/2023,21859227," Nguyễn Xí, Phường 26, Quận Bình Thạnh, TPHCM",1890000000
136,70.0,2,2,2,11/03/2023,21859259," Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, TPHCM",2280000000
137,74.0,2,2,2,11/03/2023,21859572," Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TPHCM",1770000000
138,75.0,2,2,2,11/03/2023,21724695," Nguyên Hồng, Phường 1, Quận Gò Vấp, TPHCM",3600000000
139,73.0,2,1,4,11/03/2023,21458857," Đường D4, Phường Tân Hưng, Quận 7, TPHCM",2400000000
140,86.0,3,2,2,11/03/2023,21992959," Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TPHCM",2060000000
141,75.0,2,2,2,11/03/2023,21992966," Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, TPHCM",1680000000
142,86.0,3,3,2,11/03/2023,21993219," Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, TPHCM",2300000000
143,72.0,2,2,0,11/03/2023,21993562," Đường số 20, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1890000000
144,70.0,1,1,2,11/03/2023,21993996," Ngô Tất Tố, Phường 21, Quận Bình Thạnh, TPHCM",2800000000
145,60.0,2,2,2,11/03/2023,21994041," Ngô Tất Tố, Phường 19, Quận Bình Thạnh, TPHCM",1680000000
146,86.0,2,2,2,11/03/2023,21994333," Lũy Bán Bích, Phường Phú Thạnh, Quận Tân Phú, TPHCM",1680000000
147,90.0,2,2,2,11/03/2023,21994346," Bến Vân Đồn, Phường 1, Quận 4, TPHCM",3160000000
148,70.0,2,2,2,11/03/2023,21994366," Phú Thuận, Phường Phú Thuận, Quận 7, TPHCM",2550000000
149,45.0,1,1,2,11/03/2023,21994378," Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2 (TP. Thủ Đức), TPHCM",1365000000
150,65.0,2,2,2,11/03/2023,21994383," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",2350000000
151,102.0,3,2,2,11/03/2023,21994425," Mai Chí Thọ, Phường Bình Khánh, Quận 2 (TP. Thủ Đức), TPHCM",4325000000
152,92.0,2,2,2,11/03/2023,21994434," Tạ Quang Bửu, Phường 6, Quận 8, TPHCM",2350000000
153,60.0,2,2,2,11/03/2023,21994440," Đường D6, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1680000000
